Expected delay, Actual delay
136, 235.294118
136, 234.453782
136, 235.294118
136, 235.294118
136, 236.974790
136, 236.134454
137, 236.974790
137, 236.134454
137, 236.134454
137, 236.134454
137, 239.495798
137, 236.134454
137, 236.974790
137, 236.134454
137, 236.134454
137, 219.327731
138, 236.974790
138, 238.655462
138, 238.655462
138, 236.974790
138, 236.974790
138, 237.815126
138, 236.974790
138, 237.815126
138, 237.815126
138, 236.974790
139, 239.495798
139, 240.336134
139, 237.815126
139, 236.974790
139, 238.655462
139, 237.815126
139, 237.815126
139, 237.815126
139, 237.815126
139, 238.655462
140, 239.495798
140, 238.655462
140, 240.336134
140, 239.495798
140, 239.495798
140, 239.495798
140, 238.655462
140, 240.336134
140, 239.495798
140, 239.495798
141, 240.336134
141, 240.336134
141, 239.495798
141, 244.537815
141, 242.016807
141, 240.336134
141, 239.495798
141, 240.336134
141, 240.336134
141, 240.336134
142, 242.016807
142, 240.336134
142, 242.857143
142, 241.176471
142, 241.176471
142, 241.176471
142, 242.016807
142, 225.210084
142, 241.176471
142, 240.336134
143, 242.857143
143, 242.857143
143, 242.857143
143, 242.016807
143, 242.016807
143, 242.016807
143, 242.016807
143, 244.537815
143, 242.016807
143, 242.016807
144, 245.378151
144, 243.697479
144, 242.857143
144, 242.857143
144, 242.857143
144, 243.697479
144, 242.857143
144, 242.857143
144, 242.857143
144, 243.697479
145, 244.537815
145, 244.537815
145, 245.378151
145, 247.058824
145, 243.697479
145, 245.378151
145, 247.058824
145, 245.378151
145, 244.537815
145, 243.697479
146, 247.058824
146, 246.218487
146, 245.378151
146, 244.537815
146, 246.218487
146, 245.378151
146, 244.537815
146, 246.218487
146, 245.378151
146, 245.378151
147, 246.218487
147, 247.899160
147, 246.218487
147, 246.218487
147, 246.218487
147, 246.218487
147, 246.218487
147, 246.218487
147, 246.218487
147, 247.899160
148, 247.058824
148, 246.218487
148, 247.899160
148, 247.058824
148, 247.058824
148, 247.058824
148, 247.058824
148, 247.058824
148, 247.899160
148, 247.058824
149, 247.899160
149, 249.579832
149, 248.739496
149, 247.899160
149, 249.579832
149, 248.739496
149, 247.899160
149, 247.899160
149, 247.899160
149, 252.100840
150, 249.579832
150, 249.579832
150, 248.739496
150, 249.579832
150, 248.739496
150, 250.420168
150, 249.579832
150, 251.260504
150, 249.579832
150, 248.739496
151, 250.420168
151, 250.420168
151, 250.420168
151, 250.420168
151, 250.420168
151, 249.579832
151, 250.420168
151, 251.260504
151, 250.420168
151, 250.420168
152, 251.260504
152, 252.100840
152, 251.260504
152, 251.260504
152, 251.260504
152, 252.100840
152, 252.100840
152, 251.260504
152, 251.260504
152, 251.260504
153, 252.100840
153, 252.941176
153, 252.100840
153, 252.100840
153, 252.100840
153, 252.100840
153, 252.100840
153, 252.100840
153, 252.100840
153, 273.109244
154, 252.941176
154, 253.781513
154, 252.941176
154, 253.781513
154, 257.983193
154, 252.941176
154, 253.781513
154, 252.941176
154, 252.941176
154, 253.781513
155, 256.302521
155, 254.621849
155, 253.781513
155, 254.621849
155, 254.621849
155, 253.781513
155, 254.621849
155, 254.621849
155, 254.621849
155, 253.781513
156, 254.621849
156, 257.142857
156, 255.462185
156, 254.621849
156, 255.462185
156, 254.621849
156, 254.621849
156, 255.462185
156, 238.655462
156, 254.621849
157, 256.302521
157, 255.462185
157, 257.142857
157, 257.142857
157, 257.142857
157, 256.302521
157, 256.302521
157, 256.302521
157, 257.983193
157, 257.142857
158, 257.142857
158, 257.142857
158, 257.142857
158, 263.025210
158, 257.983193
158, 257.983193
158, 257.142857
158, 258.823529
158, 257.142857
158, 257.142857
159, 258.823529
159, 257.983193
159, 257.983193
159, 257.983193
159, 258.823529
159, 257.983193
159, 257.983193
159, 257.983193
159, 257.983193
159, 259.663866
160, 258.823529
160, 258.823529
160, 259.663866
160, 259.663866
160, 258.823529
160, 260.504202
160, 260.504202
160, 258.823529
160, 259.663866
160, 259.663866
161, 260.504202
161, 260.504202
161, 259.663866
161, 260.504202
161, 243.697479
161, 259.663866
161, 261.344538
161, 260.504202
161, 260.504202
161, 260.504202
162, 237.815126
162, 260.504202
162, 262.184874
162, 261.344538
162, 260.504202
162, 262.184874
162, 261.344538
162, 262.184874
162, 262.184874
162, 261.344538
163, 262.184874
163, 262.184874
163, 262.184874
163, 262.184874
163, 261.344538
163, 262.184874
163, 262.184874
163, 263.025210
163, 263.025210
163, 263.865546
164, 263.025210
164, 269.747899
164, 269.747899
164, 266.386555
164, 263.865546
164, 263.025210
164, 267.226891
164, 263.025210
164, 263.025210
164, 263.865546
165, 263.865546
165, 268.907563
165, 263.865546
165, 264.705882
165, 263.865546
165, 265.546218
165, 263.865546
165, 264.705882
165, 264.705882
165, 268.907563
166, 264.705882
166, 264.705882
166, 265.546218
166, 265.546218
166, 265.546218
166, 265.546218
166, 266.386555
166, 265.546218
166, 266.386555
166, 266.386555
167, 268.067227
167, 266.386555
167, 266.386555
167, 266.386555
167, 266.386555
167, 266.386555
167, 265.546218
167, 267.226891
167, 266.386555
167, 266.386555
168, 267.226891
168, 268.067227
168, 267.226891
168, 268.067227
168, 268.907563
168, 267.226891
168, 267.226891
168, 268.067227
168, 267.226891
168, 267.226891
169, 268.067227
169, 268.067227
169, 268.067227
169, 268.067227
169, 268.067227
169, 268.067227
169, 267.226891
169, 268.067227
169, 270.588235
169, 269.747899
170, 268.907563
170, 269.747899
170, 271.428571
170, 269.747899
170, 270.588235
170, 269.747899
170, 268.907563
170, 269.747899
170, 268.907563
170, 269.747899
171, 270.588235
171, 270.588235
171, 270.588235
171, 271.428571
171, 270.588235
171, 270.588235
171, 269.747899
171, 270.588235
171, 270.588235
171, 269.747899
172, 271.428571
172, 271.428571
172, 271.428571
172, 271.428571
172, 271.428571
172, 270.588235
172, 271.428571
172, 271.428571
172, 270.588235
172, 271.428571
173, 271.428571
173, 272.268908
173, 272.268908
173, 272.268908
173, 273.949580
173, 273.109244
173, 272.268908
173, 272.268908
173, 272.268908
173, 273.109244
174, 273.109244
174, 273.109244
174, 273.109244
174, 273.109244
174, 273.109244
174, 277.310924
174, 273.109244
174, 273.109244
174, 273.949580
174, 273.109244
175, 274.789916
175, 273.949580
